chr	pos	annotation	SIFT	POLYPHEN	maxCADD	priPhCons	GerpRS	FATHMM	benign
chr3	37042503	stop_gained	0	1	38	0.992	405.5	0.98797	pathogenic
chr3	37042536	stop_gained	0	1	38	0.996	405.5	0.87508	pathogenic
chr3	37042544	missense_variant&splice_region_variant	0	1	27.1	0.974	405.5	0.98829	pathogenic
chr3	37042544	missense_variant&splice_region_variant	0	1	27.1	0.974	405.5	0.98829	pathogenic
chr3	37042544	missense_variant&splice_region_variant	0	1	27.5	0.974	405.5	0.98767	pathogenic
chr3	37042544	missense_variant&splice_region_variant	0	1	27.5	0.974	405.5	0.98767	pathogenic
chr3	37045905	missense_variant	0	0.994	33	0.998	296	0.99505	pathogenic
chr3	37045952	stop_gained	0	1	42	0.989	296	0.99349	pathogenic
chr3	37048483	missense_variant&splice_region_variant	0.01	0.986	32	0.975	319.3	0.99465	pathogenic
chr3	37048493	stop_gained	0	1	38	0.990	319.3	0.94430	pathogenic
chr3	37048498	stop_gained	0	1	42	0.997	319.3	0.99433	pathogenic
chr3	37048537	stop_gained	0	1	41	0.995	319.3	0.98958	pathogenic
chr3	37048546	stop_gained	0	1	39	0.997	319.3	0.98958	pathogenic
chr3	37050315	missense_variant	0	0.994	32	0.974	430.3	0.98456	pathogenic
chr3	37050348	stop_gained	0	1	37	0.995	430.3	0.98376	pathogenic
chr3	37050396	missense_variant&splice_region_variant	0.54	0.05	22.9	0.992	430.3	0.99692	pathogenic
chr3	37053343	stop_gained	0	1	19.14	0.782	217.8	0.98374	pathogenic
chr3	37053590	missense_variant&splice_region_variant	0.02	0.843	22.6	0.977	289.9	0.99757	pathogenic
chr3	37053590	missense_variant&splice_region_variant	0.02	0.843	22.6	0.977	289.9	0.99757	pathogenic
chr3	37053590	missense_variant&splice_region_variant	0.01	0.988	22.4	0.977	289.9	0.99786	pathogenic
chr3	37053590	missense_variant&splice_region_variant	0.01	0.989	22.4	0.977	289.9	0.99786	pathogenic
chr3	37055976	missense_variant	0	0.967	20.6	0.513	475.7	0.99580	pathogenic
chr3	37055976	missense_variant	0	0.983	18.68	0.513	475.7	0.99645	pathogenic
chr3	37055984	missense_variant	0.01	0.962	19.47	0.726	475.7	0.95954	pathogenic
chr3	37055984	missense_variant	0	0.734	20.3	0.726	475.7	0.96258	pathogenic
chr3	37056000	stop_gained	0	1	22.3	0.965	475.7	0.98457	pathogenic
chr3	37056024	missense_variant	0	0.92	22.4	0.997	475.7	0.99142	pathogenic
chr3	37059012	stop_gained	0	1	22.6	0.979	316	0.99446	pathogenic
chr3	37059046	stop_gained	0	1	21.9	0.961	316	0.91828	pathogenic
chr3	37059048	missense_variant	0.12	0.248	22.4	0.933	316	0.97350	pathogenic
chr3	37059057	stop_gained	0	1	22.4	0.924	316	0.98840	pathogenic
chr3	37059089	missense_variant&splice_region_variant	0	0.686	21.8	0.829	316	0.99280	pathogenic
chr3	37059089	missense_variant&splice_region_variant	0	0.686	21.8	0.829	316	0.99280	pathogenic
chr3	37059089	missense_variant&splice_region_variant	0	0.589	22.2	0.829	316	0.99225	pathogenic
chr3	37059089	missense_variant&splice_region_variant	0	0.589	22.2	0.829	316	0.99225	pathogenic
chr3	37059090	missense_variant&splice_region_variant	0	0.787	22.4	0.813	316	0.99284	pathogenic
chr3	37059090	missense_variant&splice_region_variant	0	0.787	22.4	0.813	316	0.99284	pathogenic
chr3	37059090	missense_variant&splice_region_variant	0	0.952	22.0	0.813	316	0.99428	pathogenic
chr3	37059090	missense_variant&splice_region_variant	0	0.923	22.0	0.813	316	0.99428	pathogenic
chr3	37061803	missense_variant&splice_region_variant	0	0.993	22.4	0.968	595.5	0.98900	pathogenic
chr3	37061817	stop_gained	0	1	22.5	0.995	595.5	0.97258	pathogenic
chr3	37061898	stop_gained	0	1	22.5	0.989	595.5	0.96974	pathogenic
chr3	37061902	missense_variant	0.19	0.745	22.3	0.996	595.5	0.99392	pathogenic
chr3	37061954	missense_variant&splice_region_variant	0	0.996	22.4	0.981	595.5	0.99764	pathogenic
chr3	37061954	missense_variant&splice_region_variant	0	0.996	22.4	0.981	595.5	0.99764	pathogenic
chr3	37061954	missense_variant&splice_region_variant	0	0.996	22.4	0.981	595.5	0.99764	pathogenic
chr3	37061954	missense_variant&splice_region_variant	0	0.996	22.4	0.981	595.5	0.99754	pathogenic
chr3	37061954	missense_variant&splice_region_variant	0	0.996	22.4	0.981	595.5	0.99754	pathogenic
chr3	37061954	missense_variant&splice_region_variant	0	0.996	22.4	0.981	595.5	0.99754	pathogenic
chr3	37067260	stop_gained	0	1	21.2	0.993	293.7	0.97259	pathogenic
chr3	37067281	missense_variant	1	0.029	19.75	0.991	293.7	0.98094	pathogenic
chr3	37067281	stop_gained	0	1	20.4	0.991	293.7	0.97752	pathogenic
chr3	37067314	stop_gained	0	1	14.51	0.679	29	0.45107	pathogenic
chr3	37067365	stop_gained	0	1	12.86	0.322	NA	0.32001	pathogenic
chr3	37067470	stop_gained	0	1	34	0.314	NA	0.23544	pathogenic
chr3	37070324	stop_gained	0	1	36	0.964	490.2	0.12936	pathogenic
chr3	37070327	stop_gained	0	1	38	0.964	490.2	0.61551	pathogenic
chr3	37070393	stop_gained	0	1	41	0.994	490.2	0.91409	pathogenic
chr3	37070399	stop_gained	0	1	42	0.982	490.2	0.93232	pathogenic
chr3	37081692	stop_gained	0	1	37	0.039	412.3	0.99372	pathogenic
chr3	37081727	stop_gained	0	1	37	0.032	412.3	0.98246	pathogenic
chr3	37081731	stop_gained	0	1	38	0.022	412.3	0.99488	pathogenic
chr3	37081732	stop_gained	0	1	36	0.011	412.3	0.99203	pathogenic
chr3	37081742	stop_gained	0	1	36	0.006	412.3	0.98774	pathogenic
chr3	37081758	stop_gained	0	1	35	0.001	412.3	0.98748	pathogenic
chr3	37081762	stop_gained	0	1	35	0.003	412.3	0.95056	pathogenic
chr3	37083763	stop_gained	0	1	48	0.997	317.6	0.99442	pathogenic
chr3	37083774	stop_gained	0	1	41	0.998	317.6	0.97428	pathogenic
chr3	37083775	stop_gained	0	1	47	0.998	317.6	0.98941	pathogenic
chr3	37089011	missense_variant&splice_region_variant	0.07	0.011	23.2	0.890	545.2	0.98574	pathogenic
chr3	37089023	missense_variant	0	0.987	27.5	0.522	545.2	0.96086	pathogenic
chr3	37089068	stop_gained	0	1	44	0.992	545.2	0.97599	pathogenic
chr3	37089088	stop_gained	0	1	45	0.995	545.2	0.92232	pathogenic
chr3	37089143	missense_variant	0	0.998	22.5	0.998	545.2	0.97249	pathogenic
chr3	37089143	missense_variant	0	0.998	22.3	0.998	545.2	0.97011	pathogenic
chr3	37089153	stop_gained	0	1	18.01	0.994	545.2	0.80083	pathogenic
chr3	37090053	missense_variant	0	1	22.7	0.999	333.5	0.97782	pathogenic
chr3	37090054	missense_variant	0	1	22.7	0.999	333.5	0.97782	pathogenic
chr3	37090072	missense_variant	0	1	22.6	0.993	333.5	0.97782	pathogenic
chr3	37090086	stop_gained	0	1	22.6	0.989	333.5	0.96601	pathogenic
chr3	37090403	stop_gained	0	1	20.7	0.739	429	0.97342	pathogenic
chr3	37090416	stop_gained	0	1	21.2	0.977	429	0.96650	pathogenic
chr3	37090440	stop_gained	0	1	22.2	0.997	429	0.98110	pathogenic
chr3	37090445	stop_gained	0	1	20.4	0.989	429	0.73532	pathogenic
chr3	37090446	missense_variant	0.01	0.748	22.1	0.989	429	0.86181	pathogenic
chr3	37090464	missense_variant	0	0.983	22.4	0.992	429	0.88793	pathogenic
chr3	37090470	missense_variant	0.83	0.018	22.5	0.998	429	0.93374	pathogenic
chr3	37090470	stop_gained	0	1	22.4	0.998	429	0.95772	pathogenic
chr3	37090489	stop_gained	0	1	22.5	0.979	429	0.95696	pathogenic
chr3	37090489	missense_variant	0.05	0.662	22.4	0.979	429	0.92105	pathogenic
chr3	37090498	stop_gained	0	1	21.8	0.962	429	0.81075	pathogenic
chr3	37092008	stop_gained	0	1	22.4	0.990	460.1	0.97388	pathogenic
chr3	37092008	missense_variant	0.02	0.763	22.2	0.990	460.1	0.97654	pathogenic
chr3	37092009	stop_gained	0	1	22.3	0.992	460.1	0.97388	pathogenic
chr3	37092009	missense_variant	0	0.996	22.0	0.992	460.1	0.97654	pathogenic
chr3	37092014	stop_gained	0	1	22.4	0.996	460.1	0.97388	pathogenic
chr3	37092036	stop_gained	0	1	20.6	0.991	460.1	0.82700	pathogenic
chr3	37092067	stop_gained	0	1	20.6	0.995	460.1	0.86721	pathogenic
chr3	37092097	stop_gained	0	1	22.4	0.973	460.1	0.96012	pathogenic
chr3	37092119	missense_variant	0	0.999	22.3	0.985	460.1	0.96116	pathogenic
chr3	37092119	missense_variant	0	1	22.2	0.985	460.1	0.95730	pathogenic
chr3	38050599	missense_variant	0.25	0.898	20.5	0.985	2495.8	0.62097	pathogenic
chr3	38051436	stop_gained	0	1	9.136	0.023	2495.8	0.38999	pathogenic
chr3	38052933	missense_variant	0	0.972	21.8	0.948	1126.3	0.94764	pathogenic
chr3	38180469	missense_variant	0	0.999	20.5	0.510	514.7	0.96760	pathogenic
chr3	38182001	missense_variant	0	1	22.1	0.954	598.8	0.81692	pathogenic
chr3	38518844	missense_variant	0.05	0.271	23.6	0.992	668.1	0.80948	pathogenic
chr3	38524764	missense_variant	0.35	0.003	22.5	0.988	4282	0.95939	pathogenic
chr3	38591829	missense_variant	0	0.977	33	0.792	4062.1	0.93041	pathogenic
chr3	38591853	missense_variant	0.5	0.005	8.023	0.436	4062.1	0.16115	pathogenic
chr3	38591853	missense_variant	0.65	0.001	8.834	0.436	4062.1	0.11749	pathogenic
chr3	38591853	missense_variant	0.39	0.001	9.425	0.436	4062.1	0.17752	pathogenic
chr3	38591934	missense_variant	0	0.748	27.5	0.999	4062.1	0.99802	pathogenic
chr3	38592018	missense_variant	0.08	0.999	25.8	0.592	4062.1	0.99704	pathogenic
chr3	38592018	missense_variant	0.15	0.991	26.1	0.592	4062.1	0.99683	pathogenic
chr3	38592051	stop_gained	0	1	39	0.880	4062.1	0.94519	pathogenic
chr3	38592051	missense_variant	0.72	0.043	20.2	0.880	4062.1	0.94090	pathogenic
chr3	38592060	missense_variant	0.26	0.005	11.20	0.113	4062.1	0.45983	pathogenic
chr3	38592093	missense_variant	0.1	0.996	25.9	0.940	4062.1	0.98659	pathogenic
chr3	38592125	missense_variant	0	0.997	34	0.974	4062.1	0.99507	pathogenic
chr3	38592137	missense_variant	0	0.982	25.6	0.798	4062.1	0.99273	pathogenic
chr3	38592162	missense_variant	0	0.992	31	0.922	4062.1	0.99408	pathogenic
chr3	38592162	missense_variant	0	0.979	34	0.922	4062.1	0.99289	pathogenic
chr3	38592239	missense_variant	0.01	0.894	25.9	0.997	4062.1	0.99032	pathogenic
chr3	38592239	missense_variant	0	0.946	27.4	0.997	4062.1	0.99046	pathogenic
chr3	38592247	missense_variant	0	0.957	28.5	0.996	4062.1	0.93695	pathogenic
chr3	38592282	missense_variant	0.01	0.942	27.4	0.828	4062.1	0.97689	pathogenic
chr3	38592314	missense_variant	0	1	28.7	0.990	4062.1	0.98316	pathogenic
chr3	38592347	missense_variant	0	0.992	27.2	0.997	4062.1	0.97536	pathogenic
chr3	38592393	missense_variant	0	0.978	25.6	0.942	4062.1	0.98997	pathogenic
chr3	38592408	missense_variant	0.03	0.983	27.3	0.959	4062.1	0.97689	pathogenic
chr3	38592458	missense_variant	0.01	0.966	27.4	0.969	4062.1	0.98951	pathogenic
chr3	38592479	missense_variant	0	1	28.6	0.977	4062.1	0.98463	pathogenic
chr3	38592480	missense_variant	0	1	26.9	0.978	4062.1	0.99087	pathogenic
chr3	38592494	missense_variant	0	0.998	27.4	0.924	4062.1	0.98464	pathogenic
chr3	38592506	missense_variant	0	0.999	26.8	0.905	4062.1	0.99104	pathogenic
chr3	38592513	missense_variant	0	0.992	34	0.928	4062.1	0.96702	pathogenic
chr3	38592534	missense_variant	0	0.988	33	0.899	4062.1	0.98579	pathogenic
chr3	38592542	missense_variant	0	0.946	24.7	0.988	4062.1	0.96619	pathogenic
chr3	38592543	missense_variant	0	0.957	25.7	0.991	4062.1	0.97939	pathogenic
chr3	38592549	missense_variant	0	0.992	24.9	0.997	4062.1	0.94264	pathogenic
chr3	38592561	missense_variant	0	0.989	24.9	0.995	4062.1	0.97930	pathogenic
chr3	38592563	missense_variant	0	1	27.3	0.997	4062.1	0.97930	pathogenic
chr3	38592567	missense_variant	0	0.955	26.1	0.998	4062.1	0.98283	pathogenic
chr3	38592573	missense_variant	0	0.995	32	0.998	4062.1	0.98494	pathogenic
chr3	38592576	missense_variant	0	0.999	33	0.998	4062.1	0.98093	pathogenic
chr3	38592581	missense_variant	0	1	27.3	0.998	4062.1	0.98769	pathogenic
chr3	38592582	missense_variant	0	0.999	26.8	0.998	4062.1	0.98559	pathogenic
chr3	38592624	missense_variant	0.12	1	25.5	0.848	4062.1	0.95004	pathogenic
chr3	38592627	missense_variant	0.36	0.999	23.5	0.829	4062.1	0.42295	pathogenic
chr3	38592635	missense_variant	0	1	29.6	0.750	4062.1	0.99351	pathogenic
chr3	38592645	missense_variant	0	1	32	0.800	4062.1	0.99594	pathogenic
chr3	38592648	missense_variant	0	0.954	32	0.866	4062.1	0.87727	pathogenic
chr3	38592681	missense_variant	0	1	26.8	0.752	4062.1	0.99202	pathogenic
chr3	38592689	missense_variant	0.03	1	28.4	0.695	4062.1	0.95005	pathogenic
chr3	38592695	missense_variant	0.11	0.135	23.3	0.752	4062.1	0.74277	pathogenic
chr3	38592699	missense_variant	0.03	0.994	24.9	0.952	4062.1	0.88792	pathogenic
chr3	38592722	missense_variant	0	0.999	27.6	0.903	4062.1	0.97649	pathogenic
chr3	38592729	missense_variant	0	1	33	0.816	4062.1	0.97820	pathogenic
chr3	38592734	missense_variant	0	0.998	32	0.747	4062.1	0.98042	pathogenic
chr3	38592737	missense_variant	0	0.977	29.8	0.854	4062.1	0.98796	pathogenic
chr3	38592737	missense_variant	0	0.977	29.8	0.854	4062.1	0.98796	pathogenic
chr3	38592737	missense_variant	0	0.994	28.3	0.854	4062.1	0.99039	pathogenic
chr3	38592737	missense_variant	0	0.994	28.3	0.854	4062.1	0.99039	pathogenic
chr3	38592745	missense_variant	0	0.972	26.4	0.994	4062.1	0.90967	pathogenic
chr3	38592749	missense_variant	0.01	0.562	24.6	0.997	4062.1	0.98526	pathogenic
chr3	38592771	missense_variant	0.03	0.999	33	0.992	4062.1	0.97820	pathogenic
chr3	38592825	missense_variant	0	0.502	25.6	0.997	4062.1	0.97828	pathogenic
chr3	38592848	missense_variant	0.01	0.939	26.7	0.998	4062.1	0.99446	pathogenic
chr3	38592864	missense_variant	0.24	0.983	25.7	0.999	4062.1	0.97595	pathogenic
chr3	38592882	missense_variant	0.02	0.999	33	0.999	4062.1	0.98326	pathogenic
chr3	38592885	missense_variant	0	0.824	25.0	0.998	4062.1	0.97821	pathogenic
chr3	38592908	missense_variant	0	0.997	26.3	0.998	4062.1	0.96957	pathogenic
chr3	38592908	missense_variant	0	0.898	26.3	0.998	4062.1	0.96957	pathogenic
chr3	38592908	missense_variant	0.01	0.966	25.5	0.998	4062.1	0.96731	pathogenic
chr3	38592908	missense_variant	0.01	0.953	25.5	0.998	4062.1	0.96731	pathogenic
chr3	38592915	missense_variant	0.01	0.999	25.1	0.995	4062.1	0.82284	pathogenic
chr3	38592917	missense_variant	0	0.999	28.4	0.992	4062.1	0.98566	pathogenic
chr3	38592929	missense_variant	0.04	0.999	29.2	0.955	4062.1	0.97565	pathogenic
chr3	38592932	missense_variant	0.01	0.996	34	0.984	4062.1	0.97921	pathogenic
chr3	38592932	missense_variant	0.04	0.977	34	0.984	4062.1	0.97308	pathogenic
chr3	38592933	missense_variant	0	0.988	34	0.988	4062.1	0.90289	pathogenic
chr3	38592938	missense_variant	0.02	0.999	31	0.996	4062.1	0.97308	pathogenic
chr3	38592968	missense_variant	0.03	0.999	34	0.990	4062.1	0.95905	pathogenic
chr3	38592971	missense_variant	0	0.999	28.5	0.980	4062.1	0.97308	pathogenic
chr3	38592977	missense_variant	0.01	0.998	34	0.978	4062.1	0.97308	pathogenic
chr3	38592978	stop_gained	0	1	42	0.983	4062.1	0.92733	pathogenic
chr3	38592978	missense_variant	0	0.999	27.5	0.983	4062.1	0.93878	pathogenic
chr3	38592986	missense_variant	0	1	34	0.994	4062.1	0.98050	pathogenic
chr3	38592986	missense_variant	0	0.997	34	0.994	4062.1	0.98050	pathogenic
chr3	38592986	missense_variant	0.01	0.597	34	0.994	4062.1	0.97308	pathogenic
chr3	38592986	missense_variant	0.01	1	34	0.994	4062.1	0.97308	pathogenic
chr3	38592995	missense_variant	0	0.182	26.4	0.974	4062.1	0.99477	pathogenic
chr3	38592995	missense_variant	0	0.182	26.4	0.974	4062.1	0.99477	pathogenic
chr3	38592995	missense_variant	0	0.992	33	0.974	4062.1	0.99414	pathogenic
chr3	38592995	missense_variant	0.03	0.959	33	0.974	4062.1	0.99414	pathogenic
chr3	38592996	stop_gained	0	1	44	0.974	4062.1	0.96457	pathogenic
chr3	38593004	missense_variant	0	0.742	26.7	0.913	4062.1	0.96441	pathogenic
chr3	38593004	missense_variant	0	0.906	26.7	0.913	4062.1	0.96441	pathogenic
chr3	38593004	missense_variant	0	0.742	26.7	0.913	4062.1	0.96441	pathogenic
chr3	38593004	missense_variant	0	0.827	27.0	0.913	4062.1	0.99107	pathogenic
chr3	38593004	missense_variant	0	0.936	27.0	0.913	4062.1	0.99107	pathogenic
chr3	38593004	missense_variant	0	0.892	27.0	0.913	4062.1	0.99107	pathogenic
chr3	38593025	missense_variant	0.01	0.005	23.7	0.996	4062.1	0.99363	pathogenic
chr3	38593037	missense_variant	0.01	0.362	26.1	0.995	4062.1	0.99697	pathogenic
chr3	38593037	missense_variant	0.04	0.948	34	0.995	4062.1	0.99744	pathogenic
chr3	38595773	missense_variant	0.07	0.014	23.8	0.961	800.2	0.98375	pathogenic
chr3	38595794	missense_variant	0.04	0.939	32	0.993	800.2	0.97747	pathogenic
chr3	38595797	missense_variant	0.05	0.585	24.5	0.991	800.2	0.99639	pathogenic
chr3	38595800	missense_variant	0	0.972	31	0.985	800.2	0.99510	pathogenic
chr3	38595800	missense_variant	0	1	31	0.985	800.2	0.99510	pathogenic
chr3	38595800	missense_variant	0	0.999	32	0.985	800.2	0.99433	pathogenic
chr3	38595800	missense_variant	0	0.999	32	0.985	800.2	0.99433	pathogenic
chr3	38595802	missense_variant	0	0.999	27.0	0.983	800.2	0.99604	pathogenic
chr3	38595804	missense_variant	0	0.844	24.1	0.983	800.2	0.92362	pathogenic
chr3	38595835	missense_variant	0.02	0.637	34	0.981	800.2	0.96507	pathogenic
chr3	38595838	missense_variant	0	0.974	27.6	0.978	800.2	0.98463	pathogenic
chr3	38595863	missense_variant	0	0.999	26.1	0.903	800.2	0.97627	pathogenic
chr3	38595871	missense_variant	0	0.964	27.2	0.969	800.2	0.98593	pathogenic
chr3	38595878	missense_variant	0.01	0.703	26.2	0.986	800.2	0.94485	pathogenic
chr3	38595903	missense_variant	0.02	0.998	25.1	0.892	800.2	0.12092	pathogenic
chr3	38595926	missense_variant	0	0.556	24.9	0.646	800.2	0.93133	pathogenic
chr3	38595941	missense_variant	0	0.78	29.2	0.888	800.2	0.97627	pathogenic
chr3	38596003	missense_variant	0.36	0.001	21.4	0.973	800.2	0.96263	pathogenic
chr3	38596010	missense_variant	0	0.971	27.3	0.937	800.2	0.93779	pathogenic
chr3	38596021	missense_variant	0	0.001	23.6	0.943	800.2	0.98354	pathogenic
chr3	38596021	missense_variant	0	0.04	23.6	0.943	800.2	0.98358	pathogenic
chr3	38596023	missense_variant	0.46	0.023	24.2	0.956	800.2	0.87884	pathogenic
chr3	38597174	missense_variant	0	0.581	25.9	0.998	451	0.81160	pathogenic
chr3	38597185	missense_variant	0.01	0.998	32	0.995	451	0.97457	pathogenic
chr3	38597188	missense_variant	0.01	0.9	23.5	0.995	451	0.91803	pathogenic
chr3	38597189	missense_variant	0	0.995	33	0.996	451	0.93889	pathogenic
chr3	38597196	missense_variant	0	0.892	25.7	0.998	451	0.98310	pathogenic
chr3	38597197	missense_variant	0	0.93	25.0	0.998	451	0.97304	pathogenic
chr3	38597205	missense_variant	0	0.211	26.9	0.997	451	0.97761	pathogenic
chr3	38597209	missense_variant	0	0.623	27.3	0.996	451	0.98317	pathogenic
chr3	38597211	missense_variant	0	0.004	26.1	0.995	451	0.97304	pathogenic
chr3	38597222	missense_variant	0.01	0.411	25.5	0.999	451	0.84918	pathogenic
chr3	38597226	missense_variant	0	0.786	27.2	0.998	451	0.98911	pathogenic
chr3	38597230	missense_variant	0.04	0.002	23.5	0.996	451	0.97761	pathogenic
chr3	38597233	missense_variant	0	0.034	28.9	0.997	451	0.98310	pathogenic
chr3	38597247	missense_variant	0	0.288	25.6	0.995	451	0.97457	pathogenic
chr3	38597951	missense_variant	0	0.984	32	0.990	476.9	0.98506	pathogenic
chr3	38597951	missense_variant	0	0.998	32	0.990	476.9	0.98506	pathogenic
chr3	38597951	missense_variant	0	0.995	33	0.990	476.9	0.98326	pathogenic
chr3	38597951	missense_variant	0	0.995	33	0.990	476.9	0.98326	pathogenic
chr3	38597954	missense_variant	0.01	0.989	24.9	0.987	476.9	0.97361	pathogenic
chr3	38597967	missense_variant	0	0.999	32	0.991	476.9	0.96637	pathogenic
chr3	38597982	missense_variant	0	0.999	27.5	0.997	476.9	0.96005	pathogenic
chr3	38597996	missense_variant	0	0.999	28.7	0.976	476.9	0.98821	pathogenic
chr3	38598017	missense_variant	0	0.487	27.3	0.975	476.9	0.98333	pathogenic
chr3	38598023	missense_variant	0	0.882	29.5	0.989	476.9	0.97361	pathogenic
chr3	38598026	missense_variant	0	0.232	23.8	0.993	476.9	0.96745	pathogenic
chr3	38598048	missense_variant	0.01	0.994	29.6	0.991	476.9	0.98873	pathogenic
chr3	38598056	missense_variant	0	1	32	0.983	476.9	0.99180	pathogenic
chr3	38598723	missense_variant&splice_region_variant	0.08	1	25.4	0.990	187.1	0.87382	pathogenic
chr3	38598725	missense_variant	0.01	0.88	24.8	0.990	187.1	0.85453	pathogenic
chr3	38598727	missense_variant	0.03	0.955	25.8	0.993	187.1	0.92902	pathogenic
chr3	38598738	missense_variant	0	0.988	32	0.996	187.1	0.99266	pathogenic
chr3	38598742	missense_variant	0.07	0.998	25.8	0.996	187.1	0.98307	pathogenic
chr3	38598759	stop_gained	0	1	51	0.998	187.1	0.98854	pathogenic
chr3	38598763	missense_variant	0	0.995	33	0.998	187.1	0.99099	pathogenic
chr3	38598766	missense_variant	0	0.999	28.1	0.998	187.1	0.98750	pathogenic
chr3	38601649	missense_variant	0	0.999	27.6	0.999	910	0.95351	pathogenic
chr3	38601657	missense_variant	0	0.999	31	0.999	910	0.98057	pathogenic
chr3	38601661	missense_variant	0	1	34	0.997	910	0.98210	pathogenic
chr3	38601666	missense_variant	0	1	33	0.997	910	0.97012	pathogenic
chr3	38601667	missense_variant	0	1	34	0.997	910	0.98210	pathogenic
chr3	38601670	missense_variant	0	0.997	33	0.998	910	0.98676	pathogenic
chr3	38601670	missense_variant	0	0.999	33	0.998	910	0.98676	pathogenic
chr3	38601670	missense_variant	0	1	34	0.998	910	0.98210	pathogenic
chr3	38601670	missense_variant	0	1	34	0.998	910	0.98210	pathogenic
chr3	38601738	missense_variant	0	0.997	28.8	0.977	910	0.47738	pathogenic
chr3	38601743	missense_variant	0	0.969	25.2	0.995	910	0.88812	pathogenic
chr3	38601795	missense_variant	0	0.999	31	0.996	910	0.94449	pathogenic
chr3	38601804	missense_variant	0	0.999	26.8	0.977	910	0.81046	pathogenic
chr3	38601806	missense_variant	0.02	0.999	29.1	0.968	910	0.84682	pathogenic
chr3	38601811	missense_variant	0	1	34	0.928	910	0.94376	pathogenic
chr3	38601826	missense_variant	0	1	34	0.995	910	0.93472	pathogenic
chr3	38601831	missense_variant	0	0.99	27.8	0.998	910	0.95506	pathogenic
chr3	38601834	missense_variant	0	0.998	27.2	0.999	910	0.95188	pathogenic
chr3	38601846	missense_variant	0	1	17.93	0.999	910	0.95273	pathogenic
chr3	38601847	missense_variant	0	0.998	17.40	0.999	910	0.95114	pathogenic
chr3	38601848	missense_variant	0	1	20.8	0.999	910	0.94661	pathogenic
chr3	38601852	missense_variant	0	0.964	17.12	0.999	910	0.95273	pathogenic
chr3	38601853	missense_variant	0	0.823	17.94	0.999	910	0.91391	pathogenic
chr3	38601865	missense_variant	0.03	0.961	21.2	0.996	910	0.89860	pathogenic
chr3	38601871	missense_variant	0	0.998	16.78	0.997	910	0.92632	pathogenic
chr3	38601883	missense_variant	0	0.999	17.89	0.999	910	0.93435	pathogenic
chr3	38601885	missense_variant	0	0.999	17.10	0.999	910	0.96323	pathogenic
chr3	38601888	missense_variant	0	0.999	19.73	0.998	910	0.95938	pathogenic
chr3	38601895	missense_variant	0	1	19.55	0.982	910	0.96465	pathogenic
chr3	38601895	missense_variant	0	1	19.55	0.982	910	0.96465	pathogenic
chr3	38601895	missense_variant	0	0.998	20.7	0.982	910	0.95765	pathogenic
chr3	38601895	missense_variant	0	0.998	20.7	0.982	910	0.95765	pathogenic
chr3	38601898	missense_variant	0.02	1	19.41	0.973	910	0.95765	pathogenic
chr3	38601907	missense_variant	0.01	0.996	18.73	0.908	910	0.96332	pathogenic
chr3	38601909	missense_variant	0	0.994	16.55	0.902	910	0.95523	pathogenic
chr3	38601915	missense_variant	0.01	1	16.79	0.910	910	0.96985	pathogenic
chr3	38603913	missense_variant	0	1	33	0.985	289.2	0.98203	pathogenic
chr3	38603937	missense_variant	0	1	25.7	0.198	289.2	0.98478	pathogenic
chr3	38603958	missense_variant	0	1	26.0	0.073	289.2	0.98742	pathogenic
chr3	38603976	missense_variant	0.02	0.987	25.6	0.121	289.2	0.98024	pathogenic
chr3	38603986	missense_variant	0.04	0.96	27.6	0.011	289.2	0.96215	pathogenic
chr3	38604006	missense_variant	0.06	0.999	23.6	0.149	289.2	0.98993	pathogenic
chr3	38604022	missense_variant	0.03	0.632	22.8	0.022	289.2	0.75669	pathogenic
chr3	38607905	missense_variant	0.03	0.997	25.7	0.281	675	0.98034	pathogenic
chr3	38607907	missense_variant	0	0.833	26.0	0.313	675	0.99181	pathogenic
chr3	38607917	missense_variant	0.01	0.964	35	0.846	675	0.98760	pathogenic
chr3	38607927	missense_variant	0	0.999	34	0.952	675	0.98514	pathogenic
chr3	38607956	missense_variant	0.01	0.977	34	0.882	675	0.97965	pathogenic
chr3	38607982	missense_variant	0	0.808	27.7	0.951	675	0.97794	pathogenic
chr3	38607992	missense_variant	0	0.996	29.5	0.971	675	0.98642	pathogenic
chr3	38607994	missense_variant	0	0.405	26.4	0.952	675	0.98647	pathogenic
chr3	38608013	missense_variant	0	0.998	34	0.944	675	0.97904	pathogenic
chr3	38608018	missense_variant	0	0.997	28.1	0.960	675	0.95260	pathogenic
chr3	38608022	missense_variant	0.01	0.989	28.8	0.977	675	0.98330	pathogenic
chr3	38608024	missense_variant	0	0.999	29.4	0.984	675	0.98849	pathogenic
chr3	38608032	missense_variant	0.01	0.089	24.0	0.992	675	0.86107	pathogenic
chr3	38608045	missense_variant	0.04	0.604	34	0.983	675	0.96655	pathogenic
chr3	38608046	missense_variant	0	0.836	31	0.981	675	0.82427	pathogenic
chr3	38608046	missense_variant	0	0.836	31	0.981	675	0.82427	pathogenic
chr3	38608049	missense_variant	0.34	0.033	23.4	0.980	675	0.76476	pathogenic
chr3	38608058	missense_variant	0.24	0.726	25.6	0.987	675	0.98336	pathogenic
chr3	38608067	missense_variant	0	0.352	35	0.964	675	0.98353	pathogenic
chr3	38616798	missense_variant	0	0.515	29.8	0.997	477.9	0.96505	pathogenic
